position,name,points,salary,value
PF,Channing Frye,25.4,3800,6.684210526
PF,Jason Thompson,24.9,3800,6.552631579
SG,Ben McLemore,26.1,4000,6.525
SF,Mike Dunleavy,21.8,3600,6.055555556
PG,Greivis Vasquez,32.8,5500,5.963636364
PF,Greg Monroe,41.2,7100,5.802816901
SG,Marcus Thornton,22.6,4200,5.380952381
PG,Jameer Nelson,30.3,5800,5.224137931
PG,Isaiah Thomas,30.6,5900,5.186440678
PF,Jordan Hill,31.9,6200,5.14516129
PF,Andrew Nicholson,17.3,3500,4.942857143
C,DeMarcus Cousins,46.6,9500,4.905263158
C,Enes Kanter,31.5,6500,4.846153846
SG,E'Twaun Moore,16.9,3500,4.828571429
C,Andre Drummond,39.1,8100,4.827160494
SG,Kentavious Caldwell-Pope,19.6,4100,4.780487805
PF,Miles Plumlee,26.1,5500,4.745454545
SF,Paul Pierce,28,6000,4.666666667
PF,Markieff Morris,25.4,5500,4.618181818
PG,Russell Westbrook,40.5,8800,4.602272727
PF,Marcus Morris,19.5,4300,4.534883721
PG,Deron Williams,29.4,6500,4.523076923
PG,Goran Dragic,31.6,7000,4.514285714
PF,Taj Gibson,20.7,4600,4.5
PF,Tobias Harris,30.4,6800,4.470588235
C,Nikola Vucevic,35.6,8000,4.45
SF,John Salmons,15.9,3600,4.416666667
PF,Derrick Favors,34.7,7900,4.392405063
SG,Eric Bledsoe,35,8000,4.375
SF,Maurice Harkless,20.5,4700,4.361702128
SF,Josh Smith,35.6,8200,4.341463415
PF,Kevin Garnett,26.2,6100,4.295081967
SG,Jared Dudley,17.6,4100,4.292682927
SG,Steve Blake,23.8,5600,4.25
PF,Pau Gasol,34.8,8200,4.243902439
PF,Luc Richard Mbah a Moute,16.5,3900,4.230769231
SG,Victor Oladipo,24.1,5700,4.228070175
SF,Matt Barnes,17.3,4100,4.219512195
SG,Alec Burks,19.8,4700,4.212765957
SG,Jodie Meeks,18.1,4300,4.209302326
SG,Nick Young,20.6,4900,4.204081633
PF,Andray Blatche,21.5,5200,4.134615385
SG,Joe Johnson,21.9,5300,4.132075472
PG,Kirk Hinrich,18.1,4400,4.113636364
C,Joakim Noah,29.3,7200,4.069444444
PG,John Lucas,14.2,3600,3.944444444
SF,Jeremy Lamb,14.1,3600,3.916666667
C,Brook Lopez,29.7,7600,3.907894737
PG,Brandon Jennings,31.6,8200,3.853658537
SF,Kevin Durant,46.6,12100,3.851239669
SG,Gordon Hayward,30.8,8000,3.85
SG,Arron Afflalo,28.8,7500,3.84
SG,Rodney Stuckey,20.6,5400,3.814814815
SF,P.J. Tucker,17.9,4700,3.808510638
SF,Kyle Singler,13.1,3500,3.742857143
C,DeAndre Jordan,28,7500,3.733333333
C,Chris Kaman,16.3,4400,3.704545455
PG,Chris Paul,38.8,10800,3.592592593
SF,Wesley Johnson,16.1,4500,3.577777778
PG,Reggie Jackson,19.3,5500,3.509090909
SF,Jeremy Evans,12.1,3500,3.457142857
PG,Trey Burke,23.1,7200,3.208333333
SF,Luol Deng,24.2,7600,3.184210526
SF,Travis Outlaw,10.9,3600,3.027777778
C,Kendrick Perkins,10.3,3500,2.942857143
PG,Marquis Teague,9.9,3500,2.828571429
PG,Darren Collison,8.2,3500,2.342857143
SF,Andrei Kirilenko,10.9,5000,2.18
PG,Chauncey Billups,6.7,3600,1.861111111
C,Chuck Hayes,5.7,3500,1.628571429
C,Nazr Mohammed,4.4,3500,1.257142857
C,Ryan Hollins,4.2,3500,1.2
C,Alex Len,3.2,3500,0.914285714
C,Hasheem Thabeet,1.2,3500,0.342857143
C,Andris Biedrins,0,3500,0
