position,name,points,salary,value
SF,Terrence Jones,37.8,4400,8.590909091
PF,Greg Monroe,43.4,7400,5.864864865
C,DeMarcus Cousins,45.6,9100,5.010989011
C,Andre Drummond,39.1,8000,4.8875
PF,Dirk Nowitzki,36.1,7400,4.878378378
SG,Monta Ellis,39.5,8100,4.87654321
PG,Goran Dragic,31.6,6600,4.787878788
PG,Kyrie Irving,42.3,9100,4.648351648
SF,Josh Smith,37.8,8300,4.554216867
PG,Ricky Rubio,34.5,7800,4.423076923
SG,Kevin Martin,31.8,7300,4.356164384
SF,LeBron James,49.1,11500,4.269565217
SF,Andre Iguodala,33.2,7800,4.256410256
SF,Andre Iguodala,33.2,7800,4.256410256
SG,Evan Turner,31.9,7500,4.253333333
PF,Josh McRoberts,19.7,4700,4.191489362
SG,Klay Thompson,27.8,6700,4.149253731
C,Nikola Vucevic,34.4,8400,4.095238095
C,Nikola Vucevic,34.4,8400,4.095238095
PF,Andrea Bargnani,22.3,5500,4.054545455
PF,David Lee,31.5,7800,4.038461538
PF,Kevin Love,47.1,11700,4.025641026
PF,Derrick Favors,32.5,8100,4.012345679
PF,Anthony Davis,40.5,10100,4.00990099
PG,Damian Lillard,33.1,8300,3.987951807
SG,O.J. Mayo,27.3,6900,3.956521739
C,Al Horford,34.5,8800,3.920454545
C,Spencer Hawes,30.3,7900,3.835443038
PG,Jeff Teague,32.6,8500,3.835294118
PF,David West,26.2,6900,3.797101449
C,Marc Gasol,31.4,8500,3.694117647
SF,Rudy Gay,30.7,8400,3.654761905
SG,Gordon Hayward,28.3,7900,3.582278481
SG,Arron Afflalo,26.3,7400,3.554054054
C,Roy Hibbert,27.1,8000,3.3875
SF,Paul George,30.9,9500,3.252631579
