position,name,points,salary,value
PF,Greg Monroe,43.4,7300,5.945205479
SF,Michael Kidd-Gilchrist,28.6,5200,5.5
PG,Kemba Walker,38.3,7400,5.175675676
PF,Jordan Hill,31.9,6200,5.14516129
C,Enes Kanter,31.5,6300,5
SF,Corey Brewer,25.8,5200,4.961538462
PF,Miles Plumlee,26.1,5400,4.833333333
C,Andre Drummond,39.1,8100,4.827160494
SG,J.J. Redick,26.9,5600,4.803571429
SF,Thaddeus Young,33.6,7000,4.8
C,Nikola Pekovic,31.3,6600,4.742424242
PF,Nene Hilario,27.9,5900,4.728813559
PG,Jrue Holiday,34.8,7500,4.64
SF,Andre Iguodala,35.7,7700,4.636363636
PF,Josh McRoberts,22.7,4900,4.632653061
PG,Ricky Rubio,34.5,7500,4.6
SG,Klay Thompson,30.3,6600,4.590909091
PG,Goran Dragic,30.1,6700,4.492537313
SG,Bradley Beal,31.5,7100,4.436619718
C,Jonas Valanciunas,24.7,5600,4.410714286
PG,Jose Calderon,27.1,6200,4.370967742
C,Vitor Faverani,19.6,4500,4.355555556
PG,Kyrie Irving,39.3,9100,4.318681319
SG,Monta Ellis,35.8,8300,4.313253012
SG,DeMar DeRozan,29.3,6800,4.308823529
PF,Derrick Favors,34.7,8100,4.283950617
SG,Kevin Martin,30.8,7200,4.277777778
PF,Dirk Nowitzki,32.4,7600,4.263157895
SG,Steve Blake,23.8,5600,4.25
PF,Anthony Davis,41.7,10100,4.128712871
SG,Evan Turner,31.9,7800,4.08974359
PG,Brandon Jennings,33.1,8100,4.086419753
PF,Kevin Love,47.1,11600,4.060344828
PG,Jeff Teague,32.6,8200,3.975609756
SG,Rodney Stuckey,21.6,5500,3.927272727
C,Brook Lopez,29.7,7600,3.907894737
SF,P.J. Tucker,17.9,4600,3.891304348
SF,Kevin Durant,46.6,12100,3.851239669
C,Al Horford,32.3,8400,3.845238095
C,Spencer Hawes,30.3,8000,3.7875
C,DeAndre Jordan,29.5,7800,3.782051282
SG,Kyle Korver,20.8,5500,3.781818182
SF,Rudy Gay,31.7,8400,3.773809524
SF,Martell Webster,18.8,5000,3.76
PG,Michael Carter-Williams,28.7,8300,3.457831325
SF,Paul George,32.4,9500,3.410526316
C,Roy Hibbert,26.1,8000,3.2625
SF,Luol Deng,24.2,7600,3.184210526
PF,Ersan Ilyasova,19.7,6800,2.897058824
PG,Shaun Livingston,8.4,4700,1.787234043
