position,name,points,salary,value
SF,LeBron James,46.8,11100,4.219051975
C,DeMarcus Cousins,46.5,9800,4.748619723
PG,Stephen Curry,43.3,9600,4.505884814
PG,Chris Paul,42.5,10900,3.897738124
PG,Ty Lawson,41.8,9400,4.446951094
PF,Anthony Davis,41.5,9900,4.192233429
PF,Carmelo Anthony,41.1,10400,3.951155816
PF,Blake Griffin,40.6,9500,4.268659773
SF,Kevin Durant,39.1,11800,3.312906841
PG,John Wall,38.2,10100,3.784025797
SG,Eric Bledsoe,37.9,8000,4.734846897
PG,Russell Westbrook,37.9,8800,4.304389985
PF,David Lee,37.3,8000,4.656883654
SF,Paul George,37.2,9700,3.83099032
PG,Michael Carter-Williams,36.8,8900,4.131072026
SF,Rudy Gay,35.3,8000,4.413954386
C,Dwight Howard,34.7,9800,3.538211833
PG,Brandon Jennings,34.6,8200,4.214826695
PF,Pau Gasol,34.5,8500,4.059815126
C,Andre Drummond,34.2,7900,4.329068024
C,Nikola Vucevic,33.9,8000,4.239525013
C,Al Horford,33.9,8200,4.134285834
PG,Jeff Teague,33.5,8200,4.089269472
PF,Serge Ibaka,33.3,7500,4.44530397
SG,Monta Ellis,32.5,8700,3.732445396
PF,Dirk Nowitzki,32.2,8000,4.020961071
SG,Gordon Hayward,32.0,7700,4.159164893
SF,Chandler Parsons,31.6,7300,4.327904358
SF,Thaddeus Young,31.5,7000,4.498950325
PF,Jared Sullinger,31.3,6300,4.973016298
PG,Kyrie Irving,30.9,8800,3.506629329
SG,DeMar DeRozan,30.8,7200,4.28229038
PG,Kyle Lowry,30.8,7300,4.221222432
SF,Trevor Ariza,30.6,6400,4.775317969
SF,Josh Smith,30.5,7800,3.906805518
PG,Goran Dragic,30.3,7500,4.044087513
SG,Arron Afflalo,30.3,8000,3.790060707
PF,Paul Millsap,30.3,7300,4.149471089
PF,Jordan Hill,30.3,6500,4.658833647
SG,Dwyane Wade,29.7,8500,3.498689152
SG,Victor Oladipo,29.7,6500,4.561887024
C,Spencer Hawes,29.6,8400,3.526712175
PF,Andray Blatche,29.6,5700,5.196533643
PF,Nene Hilario,29.6,7000,4.229272336
C,Al Jefferson,29.5,8400,3.510552756
C,Roy Hibbert,29.4,7600,3.874475873
PF,Derrick Favors,29.2,7400,3.942340233
C,DeAndre Jordan,29.1,7400,3.932107034
SG,Klay Thompson,29.0,7000,4.139686829
SG,Jordan Crawford,28.9,5600,5.159284741
PF,David West,28.5,7300,3.905957618
PF,Glen Davis,28.4,5900,4.812884014
SG,Evan Turner,28.3,8000,3.536414423
PF,Andrea Bargnani,28.2,5700,4.947684262
PF,Ersan Ilyasova,28.2,6200,4.548377852
SF,Martell Webster,28.0,6900,4.053533373
PF,Josh McRoberts,27.8,5400,5.14395059
PG,Kemba Walker,27.7,7600,3.639392183
PF,Tim Duncan,27.5,7100,3.877125474
PG,Isaiah Thomas,27.3,6000,4.548161537
SG,Gerald Henderson,27.2,6300,4.311515431
PG,Tony Parker,26.8,7200,3.72345408
C,Andrew Bogut,26.7,6600,4.050306452
SG,Joe Johnson,26.7,6000,4.445798942
C,Anderson Varejao,26.6,6100,4.357862314
PF,Greg Monroe,26.6,7200,3.688299185
PF,J.J. Hickson,26.3,5800,4.528005096
SF,Shawn Marion,25.9,6500,3.978191411
SF,Harrison Barnes,25.8,5800,4.447909435
PG,Jrue Holiday,25.8,7900,3.261287952
PG,Jameer Nelson,25.5,6000,4.253739598
SG,Lance Stephenson,25.3,6500,3.890180853
SF,Jeff Green,25.3,5900,4.283678939
PG,Raymond Felton,25.2,6100,4.135031047
SF,Kawhi Leonard,25.2,6600,3.815484603
PF,Markieff Morris,25.0,5500,4.542023142
PF,Jason Thompson,24.7,3700,6.669240463
PG,George Hill,24.5,6200,3.950593514
SF,Michael Beasley,24.4,3800,6.427510665
SG,Rodney Stuckey,24.3,5800,4.186846713
C,Chris Bosh,24.3,6600,3.677782637
SG,O.J. Mayo,24.3,5700,4.257956624
PF,Kevin Garnett,23.9,6100,3.921193682
PF,Miles Plumlee,23.7,5400,4.386282862
PF,Terrence Jones,23.6,6200,3.809730814
PG,Shaun Livingston,23.4,4800,4.881408039
SF,J.R. Smith,23.4,5500,4.258330962
SF,Wilson Chandler,23.4,6000,3.899016412
PF,Brandon Bass,23.2,5000,4.644966253
SF,Paul Pierce,23.2,6000,3.858774488
PG,Avery Bradley,23.1,4800,4.816126572
PG,Patrick Mills,23.0,3700,6.219897066
SG,James Harden,23.0,9600,2.39260583
SG,Steve Blake,22.8,5800,3.935307968
PF,Ryan Anderson,22.7,6400,3.549397936
SG,Nick Young,22.5,5000,4.504995145
PG,Jose Calderon,22.4,5700,3.92320943
SG,Eric Gordon,22.3,6100,3.653822333
PG,Mario Chalmers,22.1,5300,4.169479621
PF,Kenneth Faried,22.0,7200,3.050219663
SF,Khris Middleton,21.9,4300,5.104058579
PG,Greivis Vasquez,21.9,5400,4.060050081
PG,Patrick Beverley,21.8,5200,4.194581087
SF,Wesley Johnson,21.7,4300,5.035072556
C,DeJuan Blair,21.6,4700,4.59826319
C,Samuel Dalembert,21.5,4900,4.391628236
PF,John Henson,21.5,5900,3.644859426
C,Jonas Valanciunas,21.5,5300,4.054659863
PF,Tristan Thompson,21.3,6200,3.431180131
C,Enes Kanter,21.3,5900,3.605275792
PF,Marcus Morris,21.2,4500,4.711962337
PG,Reggie Jackson,20.8,5600,3.718170664
SF,DeMarre Carroll,20.8,4700,4.419952843
PF,Channing Frye,20.3,4800,4.232875763
PG,Ramon Sessions,20.2,4500,4.479303129
SG,Dion Waiters,20.2,5500,3.663644419
SG,Tyreke Evans,20.1,6500,3.091882288
C,Zaza Pachulia,20.1,4600,4.359578775
PF,Amir Johnson,20.0,5400,3.701385763
SG,Jamal Crawford,20.0,5000,3.991042878
