position,name,points,salary,value
C,Chris Kaman,24.34496923,4400,5.532947552
PF,Anthony Davis,46.41842176,9900,4.688729471
SG,Klay Thompson,32.92261654,7100,4.636988245
PG,Mario Chalmers,23.1582948,5000,4.63165896
SF,Harrison Barnes,25.58885154,5600,4.569437775
SF,Michael Beasley,18.69779535,4100,4.56043789
PF,Josh McRoberts,23.38343874,5200,4.496815142
PF,Andrea Bargnani,28.04612461,6300,4.451765811
SF,Jeremy Lamb,16.33632657,3700,4.415223397
C,Andrew Bogut,28.57785153,6500,4.396592543
PG,Ramon Sessions,18.43351272,4200,4.3889316
PG,Mo Williams,20.92595978,4800,4.359574954
PG,Ricky Rubio,33.06242275,7600,4.350318783
PF,David Lee,35.16911709,8100,4.341866307
PG,Isaiah Thomas,25.95722067,6000,4.326203445
PG,Stephen Curry,41.86120063,9700,4.315587694
PF,Kevin Love,47.79697485,11200,4.26758704
PG,Jrue Holiday,33.65127369,7900,4.259654897
SG,Ben McLemore,16.53263858,3900,4.239138097
SG,Eric Gordon,25.56259471,6100,4.190589297
SG,Kevin Martin,30.40026306,7300,4.164419597
C,DeMarcus Cousins,40.44891927,9800,4.127440742
SG,Gerald Henderson,25.12723047,6100,4.11921811
PG,Kemba Walker,30.86245246,7500,4.114993661
PG,Russell Westbrook,34.85327394,8600,4.052706272
SG,Wesley Matthews,25.41549936,6300,4.034206248
PF,Kenyon Martin,17.27039686,4300,4.016371363
PF,Rashard Lewis,13.90349775,3500,3.972427929
C,Chris Andersen,14.60209718,3700,3.946512751
SF,Jeff Taylor,13.48791566,3500,3.853690189
SF,Travis Outlaw,13.83739723,3600,3.843721453
SF,Nicolas Batum,28.60142333,7500,3.813523111
SF,LeBron James,42.62248501,11300,3.771901328
PG,Norris Cole,13.8590237,3800,3.6471115
SF,Kevin Durant,39.41909448,11600,3.3981978
C,Kendrick Perkins,10.00972771,3500,2.859922203
SG,Pablo Prigioni,10.00810653,3500,2.859459009
