position,name,projected_points,salary,
PG,Jameer Nelson,27.0 ,5300,5.094339623
PF,Andrew Nicholson,17.6 ,3600,4.888888889
C,Chris Kaman,20.9 ,4300,4.860465116
PF,Terrence Jones,27.1 ,5700,4.754385965
SF,Rudy Gay,35.0 ,7400,4.72972973
PF,Amir Johnson,22.7 ,4800,4.729166667
C,Jonas Valanciunas,23.6 ,5100,4.62745098
PG,Kyle Lowry,33.7 ,7300,4.616438356
C,Chris Andersen,15.7 ,3500,4.485714286
C,Chris Bosh,26.9 ,6000,4.483333333
C,Dwight Howard,38.4 ,8600,4.465116279
PF,Amar'e Stoudemire,15.6 ,3500,4.457142857
PG,Patrick Beverley,24.5 ,5500,4.454545455
SG,James Harden,40.5 ,9100,4.450549451
SF,LeBron James,46.2 ,10500,4.4
SF,Maurice Harkless,16.2 ,3700,4.378378378
C,Nikola Vucevic,33.6 ,7700,4.363636364
PG,Raymond Felton,25.7 ,5900,4.355932203
SG,Ray Allen,17.4 ,4000,4.35
SG,Lance Stephenson,26.3 ,6100,4.31147541
SG,Victor Oladipo,31.3 ,7300,4.287671233
SG,Francisco Garcia,18.0 ,4200,4.285714286
PG,Norris Cole,15.4 ,3600,4.277777778
SF,J.R. Smith,22.6 ,5300,4.264150943
SG,Kentavious Caldwell-Pope,16.2 ,3800,4.263157895
SG,DeMar DeRozan,31.1 ,7300,4.260273973
PG,George Hill,25.9 ,6100,4.245901639
PF,Glen Davis,24.2 ,5700,4.245614035
PF,Andrea Bargnani,28.4 ,6700,4.23880597
PG,Mario Chalmers,20.2 ,4800,4.208333333
PF,Pau Gasol,31.5 ,7600,4.144736842
PF,Carmelo Anthony,41.0 ,9900,4.141414141
SF,Omri Casspi,18.2 ,4400,4.136363636
PG,Russell Westbrook,35.5 ,8600,4.127906977
PF,Greg Monroe,29.4 ,7200,4.083333333
C,Andre Drummond,35.3 ,8700,4.057471264
PF,Serge Ibaka,30.8 ,7600,4.052631579
PF,Luis Scola,16.2 ,4000,4.05
PG,Brandon Jennings,31.5 ,7900,3.987341772
C,Roy Hibbert,29.4 ,7400,3.972972973
SG,Terrence Ross,13.8 ,3500,3.942857143
PF,Jordan Hill,22.0 ,5600,3.928571429
SG,Rodney Stuckey,21.9 ,5600,3.910714286
PG,Avery Bradley,19.0 ,4900,3.87755102
SG,Arron Afflalo,30.5 ,7900,3.860759494
PF,Jared Sullinger,25.1 ,6600,3.803030303
PG,Reggie Jackson,20.7 ,5500,3.763636364
SF,Gerald Wallace,14.3 ,3800,3.763157895
SF,Paul George,36.0 ,9600,3.75
SG,Thabo Sefolosha,13.8 ,3700,3.72972973
PF,Kenyon Martin,14.9 ,4000,3.725
SG,E'Twaun Moore,13.0 ,3500,3.714285714
PF,David West,27.1 ,7300,3.712328767
SF,Josh Smith,28.9 ,7900,3.658227848
SF,Kevin Durant,42.7 ,11700,3.64957265
SF,Kyle Singler,13.8 ,3800,3.631578947
SF,Jeff Green,23.6 ,6500,3.630769231
SG,Iman Shumpert,16.2 ,4500,3.6
SG,Jodie Meeks,15.8 ,4400,3.590909091
SF,Jeremy Lamb,12.8 ,3600,3.555555556
SF,Wesley Johnson,15.7 ,4600,3.413043478
SF,Shane Battier,11.8 ,3500,3.371428571
C,Kelly Olynyk,13.7 ,4100,3.341463415
SG,Steve Blake,20.7 ,6200,3.338709677
SG,Courtney Lee,11.6 ,3500,3.314285714
C,Robert Sacre,12.5 ,3800,3.289473684
PF,Rashard Lewis,11.3 ,3500,3.228571429
PG,C.J. Watson,11.3 ,3500,3.228571429
C,Steven Adams,10.9 ,3500,3.114285714
SF,Shawne Williams,12.7 ,4100,3.097560976
PF,Nick Collison,10.3 ,3500,2.942857143
PF,Brandon Bass,15.0 ,5300,2.830188679
C,Kendrick Perkins,9.9 ,3500,2.828571429
SG,Dwyane Wade,22.5 ,8300,2.710843373
SG,Xavier Henry,10.3 ,3800,2.710526316
SF,Chandler Parsons,18.8 ,7400,2.540540541
PG,Aaron Brooks,12.0 ,4800,2.5
SG,Tim Hardaway,9.0 ,3600,2.5
C,Vitor Faverani,8.6 ,3500,2.457142857
PF,Donatas Motiejunas,8.5 ,3500,2.428571429
SG,Pablo Prigioni,8.4 ,3500,2.4
SG,Kobe Bryant,19.9 ,8300,2.397590361
SG,Jordan Crawford,14.5 ,6200,2.338709677
C,Ian Mahinmi,7.8 ,3500,2.228571429
SG,Nick Young,11.0 ,5200,2.115384615
PF,Jason Maxiell,7.4 ,3500,2.114285714
SG,Julyan Stone,7.3 ,3500,2.085714286
SF,Metta World Peace,7.0 ,3500,2
SG,Roger Mason,6.8 ,3500,1.942857143
SF,James Jones,6.5 ,3500,1.857142857
SF,Steve Novak,6.5 ,3500,1.857142857
SF,Orlando Johnson,6.4 ,3500,1.828571429
PF,Udonis Haslem,6.4 ,3500,1.828571429
PG,Phil Pressey,5.9 ,3500,1.685714286
PF,Kris Humphries,5.4 ,3600,1.5
C,Josh Harrellson,5.2 ,3500,1.485714286
PF,Tobias Harris,8.4 ,6300,1.333333333
PF,Jonas Jerebko,4.4 ,3500,1.257142857
SF,Chris Copeland,4.2 ,3500,1.2
SF,Michael Beasley,4.9 ,4300,1.139534884
C,Cole Aldrich,3.9 ,3500,1.114285714
SF,Landry Fields,3.8 ,3500,1.085714286
PG,Steve Nash,5.2 ,4800,1.083333333
PG,Derek Fisher,3.7 ,3500,1.057142857
PG,Chauncey Billups,3.6 ,3500,1.028571429
PF,Solomon Hill,3.4 ,3500,0.971428571
PF,Quincy Acy,3.4 ,3500,0.971428571
SF,Luigi Datome,3.0 ,3500,0.857142857
C,Aaron Gray,2.6 ,3500,0.742857143
PG,Will Bynum,2.6 ,3500,0.742857143
PG,Ronnie Price,2.7 ,3700,0.72972973
SF,Ryan Gomes,2.4 ,3500,0.685714286
PG,Beno Udrih,2.4 ,3500,0.685714286
SG,Doron Lamb,2.1 ,3500,0.6
PG,D.J. Augustin,2.1 ,3500,0.6
C,Joel Anthony,2.1 ,3500,0.6
SF,Ronnie Brewer,1.8 ,3500,0.514285714
PF,Charlie Villanueva,1.7 ,3500,0.485714286
SG,Marshon Brooks,1.7 ,3500,0.485714286
C,Greg Oden,1.6 ,3500,0.457142857
SF,Austin Daye,1.5 ,3500,0.428571429
C,Hasheem Thabeet,0.6 ,3500,0.171428571
SG,Keith Bogans,0.2 ,3500,0.057142857
C,Tyson Chandler,0.0 ,5800,0
PG,Jeremy Lin,0.0 ,5700,0
SG,Danny Granger,0.0 ,5500,0
PG,Jordan Farmar,0.0 ,4400,0
SF,Perry Jones III,0.0 ,3500,0
SG,Toure' Murry,0.0 ,3500,0
SF,Robert Covington,0.0 ,3500,0
PG,Isaiah Canaan,0.0 ,3500,0
SF,Elias Harris,0.0 ,3500,0
C,Kyle O'Quinn,0.0 ,3500,0
PG,Peyton Siva,0.0 ,3500,0
SF,Ryan Kelly,0.0 ,3500,0
SG,Chris Smith,0.0 ,3500,0
C,Greg Smith,0.0 ,3500,0
PG,Dwight Buycks,0.0 ,3500,0
SG,Andre Roberson,0.0 ,3500,0
SF,Rasual Butler,0.0 ,3500,0
SG,Donald Sloan,0.0 ,3500,0
C,Omer Asik,0.0 ,3500,0
PF,Hedo Turkoglu,0.0 ,3500,0
C,Solomon Jones,0.0 ,3500,0
