position,name,projected_points,salary
SF,LeBron James,46.8,10500
PG,Stephen Curry,52.7,10100
PG,Chris Paul,46.9,10000
C,DeMarcus Cousins,46.9,9800
PF,LaMarcus Aldridge,36.6,9800
SF,Paul George,39.8,9600
PF,Blake Griffin,28,8900
C,Andre Drummond,27.3,8700
SG,Dwyane Wade,30,8300
SG,Monta Ellis,28.2,8300
SF,Evan Turner,17.7,8000
PG,Damian Lillard,39.7,8000
PG,Brandon Jennings,45.1,7900
SF,Josh Smith,20.5,7900
C,Spencer Hawes,27.6,7800
PG,Kyrie Irving,27.6,7700
PG,Ricky Rubio,16,7600
PF,David Lee,44.2,7600
PG,Mike Conley,17,7600
PF,Thaddeus Young,29.4,7600
C,DeAndre Jordan,36.6,7500
SG,Kevin Martin,30.8,7500
PF,Dirk Nowitzki,47.7,7500
SG,Gordon Hayward,36.3,7400
C,Roy Hibbert,29.5,7400
PF,Tim Duncan,23.2,7300
C,Nikola Pekovic,29.4,7300
PF,David West,45.6,7300
SG,Klay Thompson,43.1,7300
C,Brook Lopez,48.4,7300
PG,Tony Parker,19.8,7200
SF,Nicolas Batum,36,7200
PF,Greg Monroe,31.9,7200
PF,Zach Randolph,32.2,7100
C,Joakim Noah,21.8,7000
PF,Carlos Boozer,20.4,6900
PG,Trey Burke,41.5,6900
C,Kosta Koufos,34.7,6600
C,Anderson Varejao,27.9,6400
PF,Kenneth Faried,13.2,6400
C,Andrew Bogut,27.9,6300
PF,Tristan Thompson,47.6,6300
SF,Kawhi Leonard,25.1,6200
SG,Wesley Matthews,19.4,6200
SF,Shawn Marion,10.3,6100
SF,Harrison Barnes,10.8,6100
PG,George Hill,18.3,6100
SG,Lance Stephenson,21.6,6100
C,Chris Bosh,26.3,6000
PF,John Henson,31.9,6000
PG,Isaiah Thomas,44.2,5900
SG,Joe Johnson,28.3,5900
SG,Dion Waiters,12.2,5600
SG,Jamal Crawford,23.2,5600
PF,Taj Gibson,34.5,5600
SG,Rodney Stuckey,2.5,5600
PG,Kirk Hinrich,18.8,5600
SF,Wilson Chandler,16.3,5600
SG,Manu Ginobili,22.9,5500
C,Robin Lopez,35.3,5500
PF,Ersan Ilyasova,12,5500
PF,Kevin Garnett,23.1,5500
SG,O.J. Mayo,32.3,5500
SG,Brandon Knight,20.7,5400
PG,Tony Wroten,26.5,5400
C,Andrew Bynum,25.2,5400
PF,Andray Blatche,22.1,5400
PF,J.J. Hickson,30,5300
PG,Jose Calderon,30.9,5300
SF,Corey Brewer,17.2,5300
PG,Greivis Vasquez,11.2,5200
C,Enes Kanter,30.4,5100
SG,Vince Carter,14.8,5000
C,DeJuan Blair,25.6,4900
SF,Mike Dunleavy,30.2,4800
C,Tiago Splitter,4.9,4800
PG,Mario Chalmers,14.7,4800
C,Samuel Dalembert,4.9,4700
SG,Alec Burks,26.3,4700
SF,Khris Middleton,18.2,4600
SG,James Anderson,4.2,4500
PG,Jarrett Jack,26.3,4500
SG,Randy Foye,22.1,4500
PG,Mo Williams,14.1,4400
C,Timofey Mozgov,19.9,4400
SG,Danny Green,5.6,4300
PG,Nate Robinson,24.9,4300
PF,Derrick Williams,16.3,4300
PF,Patrick Patterson,16.9,4200
SG,Alan Anderson,18.3,4200
SG,Marco Belinelli,9.5,4200
PF,Boris Diaw,12.8,4100
