,Position,Name,Salary
11/22/13,PF,Kevin Love,11600
11/22/13,PF,Anthony Davis,10100
11/22/13,SF,Paul George,9500
11/22/13,PG,Stephen Curry,9400
11/22/13,PG,John Wall,9400
11/22/13,PG,Kyrie Irving,9100
11/22/13,C,Al Jefferson,8800
11/22/13,C,Marc Gasol,8800
11/22/13,SG,Kobe Bryant,8500
11/22/13,C,Al Horford,8400
11/22/13,SF,Rudy Gay,8400
11/22/13,PG,Michael Carter-Williams,8300
11/22/13,SG,Monta Ellis,8300
11/22/13,SF,Josh Smith,8300
11/22/13,PG,Jeff Teague,8200
11/22/13,PF,Pau Gasol,8200
11/22/13,PG,Brandon Jennings,8100
11/22/13,C,Andre Drummond,8100
11/22/13,PF,Derrick Favors,8100
11/22/13,SG,Eric Bledsoe,8000
11/22/13,C,Spencer Hawes,8000
11/22/13,PF,Paul Millsap,8000
11/22/13,C,Roy Hibbert,8000
11/22/13,SG,Gordon Hayward,7900
11/22/13,PF,David Lee,7800
11/22/13,SG,Evan Turner,7800
11/22/13,PG,Mike Conley,7700
11/22/13,SF,Andre Iguodala,7700
11/22/13,C,Brook Lopez,7600
11/22/13,PF,Dirk Nowitzki,7600
11/22/13,PF,Zach Randolph,7500
11/22/13,PG,Ricky Rubio,7500
11/22/13,PG,Jrue Holiday,7500
11/22/13,PF,Tim Duncan,7400
11/22/13,PG,Tony Parker,7400
11/22/13,PG,Kemba Walker,7400
11/22/13,PF,Greg Monroe,7300
11/22/13,SG,Kevin Martin,7200
11/22/13,C,Marcin Gortat,7100
11/22/13,SG,Brad Beal,7100
11/22/13,SF,Thaddeus Young,7000
11/22/13,SG,Eric Gordon,7000
11/22/13,PG,Deron Williams,6900
11/22/13,SG,O.J. Mayo,6900
11/22/13,PF,David West,6900
11/22/13,SG,DeMar DeRozan,6800
11/22/13,PF,Ersan Ilyasova,6800
11/22/13,PG,Kyle Lowry,6800
11/22/13,PF,Tristan Thompson,6700
11/22/13,PG,Goran Dragic,6700
11/22/13,SF,Shawn Marion,6600
11/22/13,C,Nikola Pekovic,6600
11/22/13,SG,Klay Thompson,6600
11/22/13,PF,Ryan Anderson,6400
11/22/13,C,Larry Sanders,6400
11/22/13,SF,Kawhi Leonard,6400
11/22/13,C,Enes Kanter,6300
11/22/13,C,Anderson Varejao,6300
11/22/13,PG,Jose Calderon,6200
11/22/13,SG,Lance Stephenson,6200
11/22/13,PF,Jordan Hill,6200
11/22/13,C,Andrew Bogut,6200
11/22/13,SG,Tyreke Evans,6100
11/22/13,PF,Kevin Garnett,6100
11/22/13,SF,Paul Pierce,6100
11/22/13,SG,Gerald Henderson,6000
11/22/13,C,Andrew Bynum,5900
11/22/13,PF,Nene Hilario,5900
11/22/13,SF,Jeff Green,5900
11/22/13,PF,Markieff Morris,5800
11/22/13,C,Jonas Valanciunas,5600
11/22/13,SF,Caron Butler,5600
11/22/13,PF,Amir Johnson,5600
11/22/13,SG,Steve Blake,5600
11/22/13,SG,Danny Granger,5600
11/22/13,SF,Trevor Ariza,5600
11/22/13,PF,John Henson,5600
11/22/13,SG,Kyle Korver,5500
11/22/13,PG,George Hill,5500
11/22/13,SG,Brandon Knight,5500
11/22/13,SG,Rodney Stuckey,5500
11/22/13,PF,Jared Sullinger,5400
11/22/13,PF,Miles Plumlee,5400
11/22/13,SG,Dion Waiters,5300
11/22/13,SG,Manu Ginobili,5300
11/22/13,PG,Tony Wroten,5300
11/22/13,C,Emeka Okafor,5300
11/22/13,SG,Joe Johnson,5300
11/22/13,C,Tiago Splitter,5200
11/22/13,SF,Michael Kidd-Gilchrist,5200
11/22/13,SF,Corey Brewer,5200
