name,date,opp,mp,fanduel_pts
LeBron James,2013-12-03,DET,2218,38
LeBron James,2013-12-01,CHA,2296,39
LeBron James,2013-11-29,TOR,2187,39.7
LeBron James,2013-11-27,CLE,2226,54.6
LeBron James,2013-11-25,PHO,2001,47
LeBron James,2013-11-23,ORL,2255,46.3
LeBron James,2013-11-20,ORL,1745,38.7
LeBron James,2013-11-19,ATL,1842,26.7
LeBron James,2013-11-16,CHA,1915,46.3
LeBron James,2013-11-15,DAL,2218,48.2
LeBron James,2013-11-12,MIL,1798,36.6
LeBron James,2013-11-09,BOS,2192,44.6
LeBron James,2013-11-07,LAC,2229,31
LeBron James,2013-11-05,TOR,2161,57.6
LeBron James,2013-11-03,WAS,2081,32.1
Chris Paul,2013-12-04,ATL,2212,44.1
Chris Paul,2013-12-01,IND,2040,36.6
Chris Paul,2013-11-27,NYK,1575,33.5
Chris Paul,2013-11-24,CHI,1632,47.7
Chris Paul,2013-11-23,SAC,2275,42.7
Chris Paul,2013-11-21,OKC,2117,38
Chris Paul,2013-11-20,MIN,2116,48.7
Chris Paul,2013-11-18,MEM,2127,43.3
Chris Paul,2013-11-16,BRK,2068,44.9
Chris Paul,2013-11-13,OKC,2452,52.4
Chris Paul,2013-11-11,MIN,2076,44.3
Chris Paul,2013-11-09,HOU,2230,40.5
Chris Paul,2013-11-07,MIA,2246,34
Chris Paul,2013-11-06,ORL,2119,39
Chris Paul,2013-11-04,HOU,1997,54.1
Carmelo Anthony,2013-12-01,NOP,2627,40.5
Carmelo Anthony,2013-11-29,DEN,2415,38.4
Carmelo Anthony,2013-11-27,LAC,2432,38.3
Carmelo Anthony,2013-11-25,POR,2566,58.5
Carmelo Anthony,2013-11-23,WAS,2448,39.4
Carmelo Anthony,2013-11-20,IND,2509,56.1
Carmelo Anthony,2013-11-19,DET,2235,31.9
Carmelo Anthony,2013-11-16,ATL,2024,41.4
Carmelo Anthony,2013-11-14,HOU,2629,62
Carmelo Anthony,2013-11-13,ATL,2402,32.8
Carmelo Anthony,2013-11-10,SAS,2083,28.1
Carmelo Anthony,2013-11-08,CHA,2355,47.6
Carmelo Anthony,2013-11-05,CHA,2677,43
Carmelo Anthony,2013-11-03,MIN,2644,41.9
Carmelo Anthony,2013-10-31,CHI,2521,50.2
Blake Griffin,2013-12-04,ATL,2194,40.4
Blake Griffin,2013-12-01,IND,2192,30.4
Blake Griffin,2013-11-29,SAC,2337,32.9
Blake Griffin,2013-11-27,NYK,2144,32.6
Blake Griffin,2013-11-24,CHI,1638,38.4
Blake Griffin,2013-11-23,SAC,2414,30
Blake Griffin,2013-11-21,OKC,2199,47.5
Blake Griffin,2013-11-20,MIN,2299,41
Blake Griffin,2013-11-18,MEM,1998,42.7
Blake Griffin,2013-11-16,BRK,2399,46.4
Blake Griffin,2013-11-13,OKC,2279,47.9
Blake Griffin,2013-11-11,MIN,2358,44.5
Blake Griffin,2013-11-09,HOU,2041,32.4
Blake Griffin,2013-11-07,MIA,2298,45.8
Blake Griffin,2013-11-06,ORL,2403,46.6
Luol Deng,2013-12-02,NOP,3338,50.1
Luol Deng,2013-11-30,CLE,2336,45.3
Luol Deng,2013-11-27,DET,2447,47.7
Luol Deng,2013-11-25,UTA,2684,37
Luol Deng,2013-11-24,LAC,1948,32.4
Luol Deng,2013-11-22,POR,2573,30.8
Luol Deng,2013-11-21,DEN,1954,22.6
Luol Deng,2013-11-18,CHA,2346,34.1
Luol Deng,2013-11-16,IND,1947,35.4
Luol Deng,2013-11-15,TOR,2263,31.3
Luol Deng,2013-11-11,CLE,2196,23.5
Luol Deng,2013-11-08,UTA,2288,50.7
Luol Deng,2013-11-06,IND,2163,23.1
Luol Deng,2013-11-02,PHI,2201,37.4
Luol Deng,2013-10-31,NYK,2389,29.6
Dwyane Wade,2013-12-01,CHA,2098,27.6
Dwyane Wade,2013-11-29,TOR,2068,42.4
Dwyane Wade,2013-11-27,CLE,2156,29.3
Dwyane Wade,2013-11-25,PHO,1984,43.2
Dwyane Wade,2013-11-23,ORL,2051,38.8
Dwyane Wade,2013-11-16,CHA,1378,8.9
Dwyane Wade,2013-11-15,DAL,2169,51
Dwyane Wade,2013-11-12,MIL,1832,25.9
Dwyane Wade,2013-11-09,BOS,2028,35.1
Dwyane Wade,2013-11-07,LAC,2034,45.3
Dwyane Wade,2013-11-05,TOR,2011,36.7
Dwyane Wade,2013-11-03,WAS,2092,36.5
Dwyane Wade,2013-11-01,BRK,2255,34
Dwyane Wade,2013-10-29,CHI,2167,23.3
Dwyane Wade,NULL,NULL,NULL,NULL
Marc Gasol,2013-11-22,SAS,590,7.9
Marc Gasol,2013-11-20,GSW,2316,44.2
Marc Gasol,2013-11-18,LAC,2452,46.8
Marc Gasol,2013-11-17,SAC,2363,39.1
Marc Gasol,2013-11-15,LAL,2491,50.6
Marc Gasol,2013-11-13,TOR,1988,36
Marc Gasol,2013-11-11,IND,1773,30.7
Marc Gasol,2013-11-09,GSW,2496,38.9
Marc Gasol,2013-11-06,NOP,1841,19.2
Marc Gasol,2013-11-04,BOS,2103,25.6
Marc Gasol,2013-11-02,DAL,2139,29.5
Marc Gasol,2013-11-01,DET,2221,36.1
Marc Gasol,2013-10-30,SAS,2041,27.8
Marc Gasol,NULL,NULL,NULL,NULL
Marc Gasol,NULL,NULL,NULL,NULL
Mike Conley,2013-12-03,PHO,2212,39.4
Mike Conley,2013-11-30,BRK,2080,32.2
Mike Conley,2013-11-27,BOS,1975,32.7
Mike Conley,2013-11-25,HOU,2022,29.4
Mike Conley,2013-11-22,SAS,2277,38.2
