position,name,salary,rotowire_mp,numberfire_mp,rotowire_fdp,numberfire_fdp,opp,over_under,spread
SF,LeBron James,10700,34,36.9,31.5,41.75,CHI,189,5
PG,Chris Paul,10200,32,35,29.1,37.48,MEM,195,1.5
PF,Carmelo Anthony,10000,39,37.1,43.9,35.62,BRK,189,0
PF,Blake Griffin,9000,36,35.9,30.9,39.91,MEM,195,1.5
SF,Luol Deng,8700,36,37.7,20.8,32.89,MIA,189,5
SG,Dwyane Wade,8300,34,35,23.1,37.54,CHI,189,5
C,Marc Gasol,8200,0,0,0,0,LAC,195,1.5
PG,Mike Conley,7800,35,33.4,33.6,30.48,LAC,195,1.5
C,DeAndre Jordan,7700,34,32.1,24.6,27.3,MEM,195,1.5
PG,Derrick Rose,7500,0,0,0,0,MIA,189,5
PF,Zach Randolph,7300,38,33.7,37.6,33.52,LAC,195,1.5
C,Brook Lopez,7100,30,31.4,21.5,31.65,NYK,189,0
PG,Deron Williams,6800,0,0,0,0,NYK,189,0
PF,Carlos Boozer,6800,30,33.7,21.4,32.17,MIA,189,5
C,Joakim Noah,6800,32,33.1,23.1,30.78,MIA,189,5
PF,Andrea Bargnani,6700,37,31.5,26.5,26.24,BRK,189,0
C,Kosta Koufos,6600,28,24,27.3,20.47,LAC,195,1.5
C,Chris Bosh,6200,30,28.6,19.3,24.98,CHI,189,5
PG,Raymond Felton,6100,35,35.3,25.1,27.95,BRK,189,0
SG,Joe Johnson,6000,34,34.4,15.4,24.78,NYK,189,0
SG,Jamal Crawford,5900,32,30,18.2,25.01,MEM,195,1.5
SG,Jimmy Butler,5900,32,0,17.3,0,MIA,189,5
C,Tyson Chandler,5800,0,0,0,0,BRK,189,0
PF,Kevin Garnett,5700,29,26.7,18.7,26.8,NYK,189,0
PF,Andray Blatche,5700,24,25.8,17.5,26.3,NYK,189,0
SF,J.R. Smith,5500,26,29.5,22.8,23.28,BRK,189,0
PF,Taj Gibson,5500,24,26,15.5,22,MIA,189,5
PG,Kirk Hinrich,5500,29,30.1,15.4,20.21,MIA,189,5
SG,J.J. Redick,5300,0,0,0,0,MEM,195,1.5
SG,Tony Allen,5100,27,24.9,20,17.55,LAC,195,1.5
PG,Mario Chalmers,5100,30,29.6,14.9,22.61,CHI,189,5
SF,Mike Dunleavy,5000,28,26.1,17.6,16.77,MIA,189,5
SF,Andrei Kirilenko,4900,0,0,0,0,NYK,189,0
PF,Ed Davis,4900,16,19.8,16.5,18.24,LAC,195,1.5
SF,Paul Pierce,4900,0,0,0,0,NYK,189,0
SG,Alan Anderson,4300,32,25.8,13.9,18.39,NYK,189,0
SG,Iman Shumpert,4300,26,28.9,17.8,19.04,BRK,189,0
PF,Kenyon Martin,4100,24,18.7,15,14,BRK,189,0
